time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-19T19:30:39.868Z,18.4778,-103.8147,10,5.3,mb,118,166,0.845,0.72,us,us7000i9cl,2022-11-26T20:57:43.040Z,"24 km WSW of La Placita de Morelos, Mexico",earthquake,6.57,1.872,0.023,630,reviewed,us,us
2022-09-19T18:05:08.217Z,18.4552,-102.9561,26.943,7.6,mww,271,69,1.153,0.76,us,us7000i9bw,2023-03-02T16:27:28.209Z,"35 km SSW of Aguililla, Mexico",earthquake,5.57,1.465,0.025,159,reviewed,us,us
2022-09-15T22:31:35.279Z,15.0727,-92.7765,86.633,4.6,mb,42,161,0.521,1.04,us,us7000i8e3,2022-11-19T23:03:21.040Z,"13 km SW of El Arenal, Mexico",earthquake,7.1,6.459,0.119,21,reviewed,us,us
2022-09-14T02:58:15.153Z,17.5421,-100.8758,27.766,4.9,mb,117,70,2.12,0.54,us,us7000i7u6,2022-11-19T23:03:06.040Z,"30 km NE of Coyuquilla Norte, Mexico",earthquake,7.39,4.501,0.054,109,reviewed,us,us
2022-09-04T13:25:27.531Z,16.7433,-86.0715,10,4.6,mb,102,44,2.911,0.43,us,us7000i54l,2022-11-15T19:06:05.040Z,"37 km NNW of Guanaja, Honduras",earthquake,7.26,1.885,0.036,232,reviewed,us,us
2022-09-01T04:03:13.894Z,13.8733,-91.9335,35,4.7,mb,65,97,1.538,0.93,us,us7000i47f,2022-11-06T04:36:35.040Z,"46 km S of Champerico, Guatemala",earthquake,6.53,1.668,0.026,463,reviewed,us,us
2022-08-30T22:40:57.264Z,16.2209,-98.7916,10,4.5,mb,152,186,1.352,0.54,us,us7000i3ul,2022-11-06T04:37:14.040Z,"32 km SSW of Barra de Tecoanapa, Mexico",earthquake,9.97,1.945,0.042,162,reviewed,us,us
2022-08-24T01:26:52.983Z,16.8403,-99.6479,27.099,4.8,mb,154,71,0.181,0.62,us,us7000i1wm,2022-11-01T15:13:58.040Z,"0 km WSW of Aguas Calientes, Mexico",earthquake,5,4.081,0.046,144,reviewed,us,us
2022-08-22T12:34:42.328Z,17.0613,-94.8683,126.079,4.5,mb,59,119,2.73,0.46,us,us6000icrb,2022-11-01T15:12:49.040Z,"4 km SSE of Cuauhtémoc, Mexico",earthquake,7.08,9.112,0.046,136,reviewed,us,us
2022-08-12T08:17:26.497Z,18.4823,-100.8797,71.653,5.2,mww,116,147,1.204,0.95,us,us6000ia64,2022-10-21T23:20:55.040Z,"10 km E of Zirándaro de los Chávez, Mexico",earthquake,9.27,7.173,0.06,27,reviewed,us,us
2022-08-11T07:17:16.599Z,31.68330721,-104.4253993,6.645727539,4.5,ml,53,49,0.06591872267,0.2,tx,tx2022pqec,2022-10-21T23:20:28.040Z,"54 km S of Whites City, New Mexico",earthquake,0.8593897712,0.9692510966,0.1,28,reviewed,tx,tx
2022-08-08T11:34:29.447Z,16.0264,-94.987,54.95,4.6,mb,106,148,2.751,0.53,us,us6000i91y,2022-10-21T23:19:12.040Z,"20 km S of San Mateo del Mar, Mexico",earthquake,8.02,7.615,0.035,238,reviewed,us,us
2022-08-06T16:08:22.126Z,27.6656,-111.6466,10,5.2,mww,63,78,0.631,0.93,us,us6000i8nr,2022-10-21T23:18:31.040Z,"67 km WSW of San Carlos, Mexico",earthquake,1.54,1.882,0.043,51,reviewed,us,us
2022-08-06T03:15:07.618Z,24.5868,-109.1749,10,4.7,mwr,55,97,1.14,0.92,us,us6000i8kr,2022-10-21T23:18:20.040Z,"109 km SSW of El Huitusi, Mexico",earthquake,6.53,1.878,0.078,16,reviewed,us,us
2022-08-02T15:17:01.396Z,16.1209,-87.5018,10,5.4,mww,80,44,2.064,0.63,us,us6000i7hp,2022-10-12T14:49:59.040Z,"38 km N of Tela, Honduras",earthquake,6.73,1.873,0.043,52,reviewed,us,us
2022-07-21T13:35:58.088Z,31.68011905,-104.4210628,5.925903319999999,4.9,ml,24,69,0.06892191598,0.2,tx,tx2022oeha,2022-09-27T16:57:12.040Z,"55 km S of Whites City, New Mexico",earthquake,1.081627489,1.3067814529999997,0.2,15,reviewed,tx,tx
2022-07-20T03:42:28.264Z,13.8433,-92.0054,35,4.6,mb,84,114,1.088,0.96,us,us7000hs0v,2022-09-27T16:57:08.040Z,"50 km SSW of Champerico, Guatemala",earthquake,5.47,1.857,0.029,353,reviewed,us,us
2022-07-18T13:22:43.528Z,15.5745,-96.7613,13.326,4.7,mb,53,156,0.562,1.33,us,us6000i3er,2022-09-27T16:56:59.040Z,"26 km S of San Francisco Cozoaltepec, Mexico",earthquake,4.94,4.742,0.039,203,reviewed,us,us
2022-07-13T05:55:07.368Z,24.1381,-108.5638,10,4.5,mb,64,105,1.464,1.05,us,us6000i21g,2022-09-24T21:25:46.040Z,"84 km SW of Altata, Mexico",earthquake,5.82,1.424,0.05,118,reviewed,us,us
2022-07-12T22:50:53.248Z,14.157,-92.5466,35,4.7,mb,109,115,0.794,0.66,us,us6000i1yg,2022-09-24T21:25:48.040Z,"54 km SW of Brisas Barra de Suchiate, Mexico",earthquake,5.04,1.897,0.032,291,reviewed,us,us
2022-07-12T13:43:00.282Z,28.0381,-107.4775,15.13,4.6,mwr,81,57,1.949,0.72,us,us6000i1t1,2022-09-24T21:25:51.040Z,"14 km ENE of San Juanito, Mexico",earthquake,5.33,3.916,0.06,27,reviewed,us,us
2022-06-26T07:05:00.894Z,14.6387,-90.8296,195.69,4.6,mb,131,142,0.338,0.58,us,us7000hkby,2022-09-03T21:03:40.040Z,"2 km NE of San Andrés Itzapa, Guatemala",earthquake,8.7,7.2,0.046,138,reviewed,us,us
2022-06-23T20:37:41.997Z,16.8992,-85.7429,10,4.8,mb,100,45,3.187,0.9,us,us7000hjqr,2022-08-28T03:20:42.040Z,"51 km NNE of Savannah Bight, Honduras",earthquake,7,1.9,0.032,311,reviewed,us,us
2022-06-18T05:03:14.121Z,30.0788,-113.8135,10,5.1,mww,48,155,1.309,0.49,us,us7000hiar,2022-08-28T03:18:18.040Z,"109 km W of La Libertad, Mexico",earthquake,2.63,1.89,0.056,31,reviewed,us,us
2022-06-18T05:00:44.328Z,30.1501,-113.7326,10,5.1,mww,89,109,1.309,0.84,us,us7000hial,2022-08-28T03:18:18.040Z,"103 km WNW of La Libertad, Mexico",earthquake,4.28,1.87,0.041,58,reviewed,us,us
2022-06-18T04:51:29.788Z,30.0817,-113.7212,10,5.2,mww,60,153,2.024,0.78,us,us7000hiaj,2022-08-28T03:18:17.040Z,"101 km W of La Libertad, Mexico",earthquake,6.8,1.9,0.035,80,reviewed,us,us
2022-06-10T08:18:34.209Z,14.0607,-91.3384,81.64,4.9,mwr,150,136,0.939,1,us,us7000hger,2022-08-13T21:51:50.040Z,"15 km SSW of Nueva Concepción, Guatemala",earthquake,6.9,6.4,0.075,17,reviewed,us,us
2022-06-04T01:38:59.925Z,25.196,-109.7535,10,4.7,mb,30,127,0.76,0.47,us,us7000hetv,2022-08-13T21:52:09.040Z,"76 km SW of Campo Pesquero el Colorado, Mexico",earthquake,3.71,1.898,0.047,137,reviewed,us,us
2022-06-03T20:58:50.942Z,14.1546,-91.4091,87.85,4.7,mwr,124,121,0.959,0.92,us,us7000hery,2022-08-06T22:13:27.040Z,"12 km WSW of Nueva Concepción, Guatemala",earthquake,5.3,4.9,0.08,15,reviewed,us,us
