time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-06T20:39:55.799Z,36.4215,140.9664,54.701,4.5,mb,111,89,2.225,0.69,us,us6000j7fk,2023-02-11T23:03:12.040Z,"34 km SE of Hitachi, Japan",earthquake,6.69,4.908,0.063,82,reviewed,us,us
2022-12-05T15:20:56.494Z,41.0879,142.3257,55.229,4.8,mb,56,133,1.001,0.56,us,us6000j711,2023-02-11T23:03:08.040Z,"90 km ENE of Misawa, Japan",earthquake,5.53,6.902,0.103,33,reviewed,us,us
2022-12-04T20:27:09.530Z,31.3813,132.4033,10,4.8,mb,93,71,1.672,0.89,us,us6000j6wi,2023-02-11T23:03:06.040Z,"101 km ESE of Nichinan, Japan",earthquake,4.51,1.798,0.076,53,reviewed,us,us
2022-12-02T12:04:30.291Z,35.3699,140.4242,51.032,4.5,mb,40,126,1.965,0.34,us,us6000j69y,2023-02-05T23:26:02.040Z,"13 km ESE of Mobara, Japan",earthquake,6.95,6.861,0.115,22,reviewed,us,us
2022-12-01T04:54:40.065Z,40.4901,143.9081,10,4.9,mb,85,121,1.625,0.68,us,us6000j5xr,2023-02-05T23:25:43.040Z,"192 km ENE of Miyako, Japan",earthquake,7.21,1.841,0.082,47,reviewed,us,us
2022-12-01T03:36:58.451Z,40.5151,143.8448,10,4.8,mb,63,76,1.586,0.69,us,us6000j5x8,2023-02-05T23:25:41.040Z,"off the east coast of Honshu, Japan",earthquake,7.18,1.861,0.059,88,reviewed,us,us
2022-11-30T18:10:30.406Z,40.2398,142.1853,58.173,4.5,mb,24,154,1.016,0.85,us,us6000j5ui,2023-02-05T23:25:37.040Z,"64 km ESE of Hachinohe, Japan",earthquake,6.65,8.811,0.172,10,reviewed,us,us
2022-11-30T08:07:01.407Z,37.4506,137.2007,10,4.6,mb,62,87,1.209,1.12,us,us6000j5qe,2023-02-05T23:25:29.040Z,"near the west coast of Honshu, Japan",earthquake,5.23,1.844,0.078,49,reviewed,us,us
2022-11-30T03:45:58.852Z,37.2802,141.7077,48.106,5,mww,112,55,2.899,0.63,us,us6000j5pc,2023-02-05T23:25:27.040Z,"66 km ESE of Namie, Japan",earthquake,6.79,4.493,0.086,13,reviewed,us,us
2022-11-27T21:40:46.163Z,41.1763,142.8593,48.932,4.6,mb,50,134,0.867,0.45,us,us7000istd,2023-02-05T23:24:24.040Z,"134 km SSE of Shizunai-furukawach?, Japan",earthquake,6.05,6.177,0.071,59,reviewed,us,us
